Year,Population,Race
1/1/1930,114435,White
1/1/1940,120983,White
1/1/1950,123814,White
1/1/1960,115018,White
1/1/1970,92527,White
1/1/1980,66037,White
1/1/1990,68204,White
1/1/2000,75363,White
1/1/2010,75845,White
1/1/2018,78805,White
1/1/1930,198,Black
1/1/1940,234,Black
1/1/1950,247,Black
1/1/1960,168,Black
1/1/1970,892,Black
1/1/1980,6558,Black
1/1/1990,5575,Black
1/1/2000,4193,Black
1/1/2010,3651,Black
1/1/2018,3618,Black
1/1/1930,null,Latinx
1/1/1940,null,Latinx
1/1/1950,null,Latinx
1/1/1960,null,Latinx
1/1/1970,15504,Latinx
1/1/1980,18333,Latinx
1/1/1990,12932,Latinx
1/1/2000,8268,Latinx
1/1/2010,7198,Latinx
1/1/2018,8168,Latinx
1/1/1930,null,Asian
1/1/1940,null,Asian
1/1/1950,null,Asian
1/1/1960,null,Asian
1/1/1970,4313,Asian
1/1/1980,5536,Asian
1/1/1990,3917,Asian
1/1/2000,5143,Asian
1/1/2010,5653,Asian
1/1/2018,6829,Asian