Year,MHV,Community Area
1/1/1970,137690,Rogers Park
1/1/1970,171410,West Ridge
1/1/1970,122516,Uptown
1/1/1970,126450,Lincoln Square
1/1/1970,97788,North Center
1/1/1970,100598,Lakeview
1/1/1970,109590,Lincoln Park
1/1/1970,121392,Edgewater
1/1/1980,175165,Rogers Park
1/1/1980,191595,West Ridge
1/1/1980,162710,Uptown
1/1/1980,159265,Lincoln Square
1/1/1980,113685,North Center
1/1/1980,138595,Lakeview
1/1/1980,327805,Lincoln Park
1/1/1980,129759,Edgewater
1/1/1990,180855,Rogers Park
1/1/1990,213055,West Ridge
1/1/1990,229906,Uptown
1/1/1990,194535,Lincoln Square
1/1/1990,175849,North Center
1/1/1990,320833,Lakeview
1/1/1990,540395,Lincoln Park
1/1/1990,206715,Edgewater
1/1/2000,228655,Rogers Park
1/1/2000,239931,West Ridge
1/1/2000,342281,Uptown
1/1/2000,274911,Lincoln Square
1/1/2000,371884,North Center
1/1/2000,497614,Lakeview
1/1/2000,656023,Lincoln Park
1/1/2000,308463,Edgewater
1/1/2010,220351,Rogers Park
1/1/2010,242852,West Ridge
1/1/2010,267103,Uptown
1/1/2010,343443,Lincoln Square
1/1/2010,481266,North Center
1/1/2010,380237,Lakeview
1/1/2010,497626,Lincoln Park
1/1/2010,252277,Edgewater
1/1/2018,208664,Rogers Park
1/1/2018,259689,West Ridge
1/1/2018,277299,Uptown
1/1/2018,386487,Lincoln Square
1/1/2018,568024,North Center
1/1/2018,435805,Lakeview
1/1/2018,588430,Lincoln Park
1/1/2018,277395,Edgewater