Year,Population,Community Area
1/1/1930,128,Rogers Park
1/1/1930,46,West Ridge
1/1/1930,445,Uptown
1/1/1930,11,Lincoln Square
1/1/1930,19,North Center
1/1/1930,198,Lakeview
1/1/1930,143,Lincoln Park
1/1/1930,86,Edgewater
1/1/1940,130,Rogers Park
1/1/1940,111,West Ridge
1/1/1940,426,Uptown
1/1/1940,18,Lincoln Square
1/1/1940,19,North Center
1/1/1940,234,Lakeview
1/1/1940,132,Lincoln Park
1/1/1940,111,Edgewater
1/1/1950,108,Rogers Park
1/1/1950,115,West Ridge
1/1/1950,436,Uptown
1/1/1950,26,Lincoln Square
1/1/1950,17,North Center
1/1/1950,247,Lakeview
1/1/1950,205,Lincoln Park
1/1/1950,91,Edgewater
1/1/1960,57,Rogers Park
1/1/1960,81,West Ridge
1/1/1960,370,Uptown
1/1/1960,30,Lincoln Square
1/1/1960,48,North Center
1/1/1960,168,Lakeview
1/1/1960,1358,Lincoln Park
1/1/1960,53,Edgewater
1/1/1970,762,Rogers Park
1/1/1970,91,West Ridge
1/1/1970,3045,Uptown
1/1/1970,57,Lincoln Square
1/1/1970,140,North Center
1/1/1970,892,Lakeview
1/1/1970,4904,Lincoln Park
1/1/1970,373,Edgewater
1/1/1980,5095,Rogers Park
1/1/1980,436,West Ridge
1/1/1980,9416,Uptown
1/1/1980,228,Lincoln Square
1/1/1980,390,North Center
1/1/1980,6558,Lakeview
1/1/1980,4800,Lincoln Park
1/1/1980,6368,Edgewater
1/1/1990,15885,Rogers Park
1/1/1990,2045,West Ridge
1/1/1990,15134,Uptown
1/1/1990,1087,Lincoln Square
1/1/1990,992,North Center
1/1/1990,5575,Lakeview
1/1/1990,3590,Lincoln Park
1/1/1990,11643,Edgewater
1/1/2000,18767,Rogers Park
1/1/2000,4962,West Ridge
1/1/2000,13415,Uptown
1/1/2000,1342,Lincoln Square
1/1/2000,1333,North Center
1/1/2000,4193,Lakeview
1/1/2000,3323,Lincoln Park
1/1/2000,10564,Edgewater
1/1/2010,14461,Rogers Park
1/1/2010,8015,West Ridge
1/1/2010,11275,Uptown
1/1/2010,1488,Lincoln Square
1/1/2010,738,North Center
1/1/2010,3651,Lakeview
1/1/2010,2753,Lincoln Park
1/1/2010,8104,Edgewater
1/1/2018,14413,Rogers Park
1/1/2018,10320,West Ridge
1/1/2018,10235,Uptown
1/1/2018,1492,Lincoln Square
1/1/2018,591,North Center
1/1/2018,3618,Lakeview
1/1/2018,3136,Lincoln Park
1/1/2018,7689,Edgewater