Year,Population,Community Area,,
1/1/30,57094,Rogers Park,,1/1/40
1/1/30,39759,West Ridge,,1/1/50
1/1/30,67699,Uptown,,1/1/60
1/1/30,46419,Lincoln Square,,1/1/70
1/1/30,47651,North Center,,1/1/80
1/1/30,114872,Lakeview,,1/1/90
1/1/30,97873,Lincoln Park,,1/1/00
1/1/30,53938,Edgewater,,1/1/10
1/1/40,60565,Rogers Park,,1/1/18
1/1/40,45553,West Ridge,,
1/1/40,77677,Uptown,,
1/1/40,47179,Lincoln Square,,
1/1/40,48759,North Center,,
1/1/40,121455,Lakeview,,
1/1/40,100826,Lincoln Park,,
1/1/40,55503,Edgewater,,
1/1/50,62252,Rogers Park,,
1/1/50,47930,West Ridge,,
1/1/50,84462,Uptown,,
1/1/50,47298,Lincoln Square,,
1/1/50,47787,North Center,,
1/1/50,124824,Lakeview,,
1/1/50,102396,Lincoln Park,,
1/1/50,54606,Edgewater,,
1/1/60,56888,Rogers Park,,
1/1/60,63884,West Ridge,,
1/1/60,76103,Uptown,,
1/1/60,49850,Lincoln Square,,
1/1/60,43877,North Center,,
1/1/60,118764,Lakeview,,
1/1/60,88836,Lincoln Park,,
1/1/60,51579,Edgewater,,
1/1/70,60787,Rogers Park,,
1/1/70,65432,West Ridge,,
1/1/70,74838,Uptown,,
1/1/70,47751,Lincoln Square,,
1/1/70,39410,North Center,,
1/1/70,114943,Lakeview,,
1/1/70,67804,Lincoln Park,,
1/1/70,61598,Edgewater,,
1/1/80,55525,Rogers Park,,
1/1/80,61129,West Ridge,,
1/1/80,64414,Uptown,,
1/1/80,43954,Lincoln Square,,
1/1/80,35161,North Center,,
1/1/80,97519,Lakeview,,
1/1/80,57146,Lincoln Park,,
1/1/80,58561,Edgewater,,
1/1/90,60378,Rogers Park,,
1/1/90,65374,West Ridge,,
1/1/90,63839,Uptown,,
1/1/90,44891,Lincoln Square,,
1/1/90,33010,North Center,,
1/1/90,91031,Lakeview,,
1/1/90,61092,Lincoln Park,,
1/1/90,60703,Edgewater,,
1/1/00,63484,Rogers Park,,
1/1/00,73199,West Ridge,,
1/1/00,63551,Uptown,,
1/1/00,44574,Lincoln Square,,
1/1/00,31895,North Center,,
1/1/00,94817,Lakeview,,
1/1/00,64320,Lincoln Park,,
1/1/00,62198,Edgewater,,
1/1/10,54991,Rogers Park,,
1/1/10,71942,West Ridge,,
1/1/10,56362,Uptown,,
1/1/10,39493,Lincoln Square,,
1/1/10,31867,North Center,,
1/1/10,94368,Lakeview,,
1/1/10,64116,Lincoln Park,,
1/1/10,56521,Edgewater,,
1/1/18,54872,Rogers Park,,
1/1/18,77212,West Ridge,,
1/1/18,58424,Uptown,,
1/1/18,41713,Lincoln Square,,
1/1/18,35705,North Center,,
1/1/18,100547,Lakeview,,
1/1/18,68697,Lincoln Park,,
1/1/18,57702,Edgewater,,